Rowid_;FID;FREQUENCY;CUMUN;NMUN;N_SECCIONES
;0;1;16010;Alcázar del Rey;1
;0;1;16011;Alcohujate;1
;0;1;16012;Alconchel de la Estrella;1
;0;1;16013;Algarra;1
;0;1;16014;Aliaguilla;1
;0;1;16015;Almarcha, La;1
;0;1;16016;Almendros;1
;0;1;16017;Almodóvar del Pinar;1
;0;1;16018;Almonacid del Marquesado;1
;0;1;16019;Altarejos;1
;0;1;16020;Arandilla del Arroyo;1
;0;1;16022;Arcos de la Sierra;1
;0;1;16023;Chillarón de Cuenca;1
;0;1;16024;Arguisuelas;1
;0;1;16025;Arrancacepas;1
;0;1;16026;Atalaya del Cañavate;1
;0;1;16027;Barajas de Melo;1
;0;1;16029;Barchín del Hoyo;1
;0;1;16030;Bascuñana de San Pedro;1
;0;1;16031;Beamud;1
;0;1;16032;Belinchón;1
;0;2;16033;Belmonte;2
;0;1;16034;Belmontejo;1
;0;1;16035;Beteta;1
;0;1;16036;Boniches;1
;0;1;16038;Buciegas;1
;0;1;16039;Buenache de Alarcón;1
;0;1;16040;Buenache de la Sierra;1
;0;1;16041;Buendía;1
;0;2;16042;Campillo de Altobuey;2
;0;1;16043;Campillos-Paravientos;1
;0;1;16044;Campillos-Sierra;1
;0;1;16045;Canalejas del Arroyo;1
;0;1;16046;Cañada del Hoyo;1
;0;1;16047;Cañada Juncosa;1
;0;1;16048;Cañamares;1
;0;1;16049;Cañavate, El;1
;0;1;16050;Cañaveras;1
;0;1;16051;Cañaveruelas;1
;0;1;16052;Cañete;1
;0;1;16053;Cañizares;1
;0;1;16055;Carboneras de Guadazaón;1
;0;1;16056;Cardenete;1
;0;1;16057;Carrascosa;1
;0;1;16058;Carrascosa de Haro;1
;0;1;16060;Casas de Benítez;1
;0;1;16061;Casas de Fernando Alonso;1
;0;1;16062;Casas de Garcimolina;1
;0;1;16063;Casas de Guijarro;1
;0;1;16064;Casas de Haro;1
;0;1;16065;Casas de los Pinos;1
;0;3;16066;Casasimarro;3
;0;1;16067;Castejón;1
;0;1;16068;Castillejo de Iniesta;1
;0;1;16070;Castillejo-Sierra;1
;0;1;16071;Castillo-Albaráñez;1
;0;1;16072;Castillo de Garcimuñoz;1
;0;1;16073;Cervera del Llano;1
;0;1;16074;Cierva, La;1
;0;36;16078;Cuenca;36
;0;1;16079;Cueva del Hierro;1
;0;1;16081;Chumillas;1
;0;1;16082;Enguídanos;1
;0;1;16083;Fresneda de Altarejos;1
;0;1;16084;Fresneda de la Sierra;1
;0;1;16085;Frontera, La;1
;0;1;16086;Fuente de Pedro Naharro;1
;0;1;16087;Fuentelespino de Haro;1
;0;1;16088;Fuentelespino de Moya;1
;0;1;16089;Fuentes;1
;0;1;16091;Fuertescusa;1
;0;1;16092;Gabaldón;1
;0;1;16093;Garaballa;1
;0;1;16094;Gascueña;1
;0;1;16095;Graja de Campalbo;1
;0;1;16096;Graja de Iniesta;1
;0;1;16097;Henarejos;1
;0;1;16098;Herrumblar, El;1
;0;1;16099;Hinojosa, La;1
;0;1;16100;Hinojosos, Los;1
;0;1;16101;Hito, El;1
;0;1;16102;Honrubia;1
;0;1;16103;Hontanaya;1
;0;1;16104;Hontecillas;1
;0;2;16106;Horcajo de Santiago;2
;0;1;16107;Huélamo;1
;0;1;16108;Huelves;1
;0;1;16109;Huérguina;1
;0;1;16110;Huerta de la Obispalía;1
;0;1;16111;Huerta del Marquesado;1
;0;2;16112;Huete;2
;0;2;16113;Iniesta;2
;0;1;16115;Laguna del Marquesado;1
;0;1;16116;Lagunaseca;1
;0;1;16117;Landete;1
;0;2;16118;Ledaña;2
;0;1;16119;Leganiel;1
;0;1;16121;Majadas, Las;1
;0;1;16122;Mariana;1
;0;1;16123;Masegosa;1
;0;2;16124;Mesas, Las;2
;0;2;16125;Minglanilla;2
;0;1;16126;Mira;1
;0;1;16128;Monreal del Llano;1
;0;1;16129;Montalbanejo;1
;0;1;16130;Montalbo;1
;0;1;16131;Monteagudo de las Salinas;1
;0;1;16132;Mota de Altarejos;1
;0;4;16133;Mota del Cuervo;4
;0;3;16134;Motilla del Palancar;3
;0;1;16135;Moya;1
;0;1;16137;Narboneta;1
;0;1;16139;Olivares de Júcar;1
;0;1;16140;Olmeda de la Cuesta;1
;0;1;16141;Olmeda del Rey;1
;0;1;16142;Olmedilla de Alarcón;1
;0;1;16143;Olmedilla de Eliz;1
;0;1;16145;Osa de la Vega;1
;0;1;16146;Pajarón;1
;0;1;16147;Pajaroncillo;1
;0;1;16148;Palomares del Campo;1
;0;1;16149;Palomera;1
;0;1;16150;Paracuellos;1
;0;1;16151;Paredes;1
;0;1;16152;Parra de las Vegas, La;1
;0;1;16153;Pedernoso, El;1
;0;5;16154;Pedroñeras, Las;5
;0;1;16155;Peral, El;1
;0;1;16156;Peraleja, La;1
;0;1;16157;Pesquera, La;1
;0;1;16158;Picazo, El;1
;0;1;16159;Pinarejo;1
;0;1;16160;Pineda de Gigüela;1
